"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Visibility_MeanRatio","Item_Type_Combined","Outlet_Years"
"FDK43",9.8,"Low Fat",0.026950104,"Meat",128.402,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1265.02,0.575901900567034,"Food",4
"NCR29",7.565,"Non-Edible",0.054751689,"Health and Hygiene",54.793,"OUT045",2002,"Small","Tier 2","Supermarket Type1",622.523,0.270864324218734,"Non-Consumable",11
"FDY03",17.6,"Regular",0.076121831,"Meat",111.7202,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1125.202,0.192592847866775,"Food",16
"FDU44",12.15,"Regular",0.058516562,"Fruits and Vegetables",164.1552,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5198.5664,0.301363498619686,"Food",14
"FDZ04",9.31,"Low Fat",0.037923509,"Frozen Foods",61.651,"OUT013",1987,"High","Tier 3","Supermarket Type1",379.506,0.39304590378333,"Food",26
"FDU16",19.25,"Regular",0.058365706,"Frozen Foods",82.1908,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2432.8332,0.275158382180875,"Food",14
"FDV07",9.5,"Low Fat",0.031346387,"Fruits and Vegetables",110.7228,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1657.842,0.598289580818525,"Food",11
"NCL19",15.35,"Non-Edible",0.015663185,"Others",143.947,"OUT013",1987,"High","Tier 3","Supermarket Type1",3006.087,1.26301014832156,"Non-Consumable",26
"FDW01",12.3408296213808,"Low Fat",0.063750302,"Canned",153.4682,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2287.023,0.212483755168858,"Food",28
"FDC10",12.8657320024198,"Regular",0.07252476,"Snack Foods",120.3098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1687.1372,0.203083650032358,"Food",28
"DRC12",17.85,"Low Fat",0.038040837,"Soft Drinks",189.1188,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3237.1196,0.423835541318948,"Drinks",6
"DRK39",7.02,"Low Fat",0.049823902,"Dairy",82.225,"OUT013",1987,"High","Tier 3","Supermarket Type1",2746.425,0.335405639707021,"Drinks",26
"FDG24",12.2752111111111,"Low Fat",0.014560297,"Baking Goods",81.425,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1331.6,1.14444081867201,"Food",28
"FDO04",12.5693234042553,"Low Fat",0.026408698,"Frozen Foods",53.2614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",607.8754,0.726220058222145,"Food",28
"DRB25",12.3,"Low Fat",0.069446588,"Soft Drinks",106.3938,"OUT035",2004,"Small","Tier 2","Supermarket Type1",857.5504,0.199314597690279,"Drinks",9
"FDK26",5.46,"Regular",0.03217132,"Canned",184.824,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4287.752,0.477834032388601,"Food",9
"FDM52",15.1,"Low Fat",0.026046138,"Frozen Foods",147.2076,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1773.6912,0.617062509491644,"Food",11
"FDY07",11.8,"Low Fat",0.121848436,"Fruits and Vegetables",46.8402,"OUT045",2002,"Small","Tier 2","Supermarket Type1",597.2226,0.229189006569107,"Food",11
"NCO06",19.25,"Non-Edible",0.108470504,"Household",33.4558,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",441.4254,0.13809158894471,"Non-Consumable",4
"FDO10",13.65,"Regular",0.010637448625,"Snack Foods",55.8588,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1431.47,1.81229697830856,"Food",11
"FDK34",13.35,"Low Fat",0.038494623,"Snack Foods",240.2564,"OUT013",1987,"High","Tier 3","Supermarket Type1",2860.2768,0.416290139956375,"Food",26
"FDS33",12.8657320024198,"Regular",0.122830885,"Snack Foods",86.9514,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3364.9532,0.160573846304042,"Food",28
"FDO45",13.15,"Regular",0.038029746,"Snack Foods",88.6856,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1757.712,0.39306990286544,"Food",11
"FDF08",14.3,"Regular",0.065207559,"Fruits and Vegetables",89.8856,"OUT046",1997,"Small","Tier 1","Supermarket Type1",966.7416,0.212394773098017,"Food",16
"FDH58",12.3,"Low Fat",0.037014587,"Snack Foods",115.1834,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1958.1178,0.434161217519217,"Food",11
"FDS03",7.825,"Low Fat",0.133281968,"Meat",63.2826,"OUT010",1998,"Small","Tier 3","Grocery Store",129.1652,0.211773263487402,"Food",15
"DRF03",19.1,"Low Fat",0.045299563,"Dairy",38.8138,"OUT035",2004,"Small","Tier 2","Supermarket Type1",365.5242,0.395550596935547,"Drinks",9
"FDE02",8.71,"Low Fat",0.121149472,"Canned",93.7778,"OUT013",1987,"High","Tier 3","Supermarket Type1",1783.6782,0.126915940087857,"Food",26
"NCZ06",19.6,"Non-Edible",0.094083303,"Household",252.2698,"OUT013",1987,"High","Tier 3","Supermarket Type1",2790.3678,0.188825302086707,"Non-Consumable",26
"FDW49",19.5,"Low Fat",0.0956739807777778,"Canned",179.3002,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2328.3026,0.239666655590084,"Food",14
"FDR23",15.85,"Low Fat",0.0947504634444444,"Breads",174.737,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2822.992,0.169363825955417,"Food",6
"NCJ29",13.1717394366197,"Non-Edible",0.035022503,"Health and Hygiene",85.1224,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2045.3376,0.5472771000041,"Non-Consumable",28
"FDY35",17.6,"Regular",0.016060186,"Breads",47.2402,"OUT045",2002,"Small","Tier 2","Supermarket Type1",505.3422,0.875799569624653,"Food",11
"FDZ01",12.3408296213808,"Regular",0.009014978,"Canned",102.699,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3095.97,1.94119152892416,"Food",28
"FDX19",19.1,"Low Fat",0.096733815,"Fruits and Vegetables",233.1958,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5141.3076,0.185267770059832,"Food",16
"FDG44",6.13,"Low Fat",0.102607233,"Fruits and Vegetables",54.0298,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",808.947,0.136266415789222,"Food",4
"FDQ23",6.55,"Low Fat",0.024521191,"Breads",100.6332,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2665.8632,0.603456236058135,"Food",9
"FDY22",16.5,"Regular",0.160624116,"Snack Foods",143.8128,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2588.6304,0.0963237191971699,"Food",6
"NCN41",17,"Non-Edible",0.052165855,"Health and Hygiene",125.073,"OUT013",1987,"High","Tier 3","Supermarket Type1",1108.557,0.260734139034696,"Non-Consumable",26
"FDA47",10.5,"Regular",0.12770372475,"Baking Goods",162.421,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1304.968,0.150960483241504,"Food",11
"NCD19",8.93,"Non-Edible",0.0146697428333333,"Household",55.4614,"OUT045",2002,"Small","Tier 2","Supermarket Type1",331.5684,1.14249276148979,"Non-Consumable",11
"FDO36",12.2752111111111,"Low Fat",0.07753654,"Baking Goods",180.866,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3235.788,0.19743085380412,"Food",28
"FDH20",16.1,"Regular",0.024928351,"Fruits and Vegetables",95.141,"OUT013",1987,"High","Tier 3","Supermarket Type1",3089.312,0.586588159702303,"Food",26
"FDN12",12.2752111111111,"Low Fat",0.08071118,"Baking Goods",113.1544,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3355.632,0.182419797156901,"Food",28
"NCJ30",5.82,"Non-Edible",0.080968973,"Household",171.379,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2037.348,0.206228772276329,"Non-Consumable",4
"FDB09",16.25,"Low Fat",0.057485328,"Fruits and Vegetables",126.2046,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1867.569,0.241337811041658,"Food",14
"FDA09",13.35,"Regular",0.149669322,"Snack Foods",180.266,"OUT045",2002,"Small","Tier 2","Supermarket Type1",898.83,0.111369943244791,"Food",11
"FDL24",12.2752111111111,"Regular",0.024776026,"Baking Goods",172.3422,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7759.899,0.643958615891152,"Food",28
"FDP03",5.15,"Regular",0.061165512,"Meat",125.6388,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2848.2924,0.241882443331849,"Food",9
"FDR58",12.8657320024198,"Low Fat",0.041718456,"Snack Foods",94.5462,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2868.9322,0.423976985749896,"Food",28
"FDO13",7.865,"Low Fat",0.06100886,"Breakfast",166.0526,"OUT013",1987,"High","Tier 3","Supermarket Type1",3617.9572,0.242390162337138,"Food",26
"DRD49",9.895,"Low Fat",0.167799329,"Soft Drinks",239.4564,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5243.8408,0.0955268505674158,"Drinks",9
"NCF42",17.35,"Non-Edible",0.167351411,"Household",176.0712,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2109.2544,0.100746219324517,"Non-Consumable",9
"DRK35",8.365,"Low Fat",0.071832909,"Hard Drinks",36.1506,"OUT035",2004,"Small","Tier 2","Supermarket Type1",721.0614,0.201236094516686,"Drinks",9
"FDR58",6.675,"Low Fat",0.041886576,"Snack Foods",92.1462,"OUT013",1987,"High","Tier 3","Supermarket Type1",1203.1006,0.368596662649811,"Food",26
"FDQ15",12.7661037891269,"Regular",0.150341867,"Meat",83.1276,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1868.2348,0.0978862942518044,"Food",28
"NCP50",17.35,"Non-Edible",0.020542737,"Others",80.5618,"OUT013",1987,"High","Tier 3","Supermarket Type1",322.2472,0.713269032575347,"Non-Consumable",26
"FDV45",16.75,"Low Fat",0.045047439,"Snack Foods",186.4556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3942.8676,0.39469733477595,"Food",16
"DRP35",18.85,"Low Fat",0.091008572,"Hard Drinks",129.6336,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3195.84,0.195671102289879,"Drinks",14
"FDN23",6.575,"Regular",0.07549348,"Breads",143.5444,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3338.3212,0.212327493515,"Food",9
"FDS44",12.65,"Regular",0.156286566,"Fruits and Vegetables",238.9538,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4086.0146,0.105700567524474,"Food",14
"NCI54",15.2,"Non-Edible",0.033735909,"Household",110.9912,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1856.2504,0.41226912899386,"Non-Consumable",4
"FDH40",12.5693234042553,"Regular",0.078547351,"Frozen Foods",79.3276,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1380.8692,0.213648830183692,"Food",28
"FDF46",7.07,"Low Fat",0.093653464,"Snack Foods",113.3834,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1267.0174,0.211524013477901,"Food",9
"FDA21",13.65,"Low Fat",0.036107198,"Snack Foods",184.4924,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",5182.5872,0.509864171104118,"Food",4
"FDI41",12.5693234042553,"Regular",0.109003832,"Frozen Foods",145.2418,"OUT019",1985,"Small","Tier 1","Grocery Store",147.1418,0.222417496407677,"Food",28
"FDE35",7.06,"Regular",0.073480266,"Starchy Foods",58.8904,"OUT010",1998,"Small","Tier 3","Grocery Store",58.5904,0.380669862965215,"Food",15
"DRJ24",11.8,"Low Fat",0.113234914,"Soft Drinks",186.3924,"OUT013",1987,"High","Tier 3","Supermarket Type1",5367.6796,0.123860693447656,"Drinks",26
"NCK17",13.1717394366197,"Non-Edible",0.037711338,"Health and Hygiene",41.548,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1358.232,0.393670803816447,"Non-Consumable",28
"FDA15",9.3,"Low Fat",0.016054884,"Dairy",250.2092,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5976.2208,1.11853837086378,"Food",11
"FDD36",12.2752111111111,"Low Fat",0.021170542,"Baking Goods",117.6124,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2251.7356,0.695120958692307,"Food",28
"DRD60",11.788407960199,"Low Fat",0.065188619,"Soft Drinks",181.1634,"OUT019",1985,"Small","Tier 1","Grocery Store",181.7634,0.397513431855812,"Drinks",28
"FDA46",13.6,"Low Fat",0.117537563,"Snack Foods",195.4136,"OUT013",1987,"High","Tier 3","Supermarket Type1",5443.5808,0.152349119443511,"Food",26
"NCO54",19.5,"Non-Edible",0.01430324,"Household",57.2614,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1547.3192,1.18136934861079,"Non-Consumable",11
"FDL48",19.35,"Regular",0.137697119,"Baking Goods",47.1034,"OUT010",1998,"Small","Tier 3","Grocery Store",145.8102,0.217849013363404,"Food",15
"NCM19",13.9157236842105,"Non-Edible",0.047008497,"Others",112.0202,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5063.409,0.381826234360363,"Non-Consumable",28
"FDS31",13.1,"Regular",0.0442371781666667,"Fruits and Vegetables",178.9318,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3067.3406,0.435792172985537,"Food",14
"FDV12",16.7,"Regular",0.060863167,"Baking Goods",97.6384,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2857.6136,0.252730519988024,"Food",9
"FDQ31",5.785,"Regular",0.0624167245555556,"Fruits and Vegetables",87.1856,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1406.1696,0.257099377038228,"Food",9
"FDK55",12.7661037891269,"Low Fat",0.045105407,"Meat",89.4172,"OUT019",1985,"Small","Tier 1","Grocery Store",178.4344,0.574506548137203,"Food",28
"DRG15",6.13,"Low Fat",0.076855207,"Dairy",59.3536,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1470.0864,0.208667351974999,"Drinks",14
"NCR17",9.8,"Non-Edible",0.024482644,"Health and Hygiene",116.2492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2896.23,0.789895911237394,"Non-Consumable",4
"FDV01",12.3408296213808,"Regular",0.100149302375,"Canned",154.6314,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6515.5188,0.16023377716514,"Food",28
"FDT21",7.42,"Low Fat",0.020474913,"Snack Foods",248.4092,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",996.0368,0.718413699154036,"Food",4
"FDT10",16.7,"Regular",0.062044506,"Snack Foods",57.4562,"OUT046",1997,"Small","Tier 1","Supermarket Type1",948.0992,0.240441825105065,"Food",16
"FDL56",13.1944061187762,"Low Fat",0.220225608,"Fruits and Vegetables",85.6198,"OUT019",1985,"Small","Tier 1","Grocery Store",87.2198,0.141358072077196,"Food",28
"FDS49",9,"Low Fat",0.079794329,"Canned",80.1644,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1178.466,0.221923987784792,"Food",6
"FDT32",13.1944061187762,"Regular",0.114916546,"Fruits and Vegetables",188.4214,"OUT019",1985,"Small","Tier 1","Grocery Store",565.2642,0.223367993911304,"Food",28
"NCX42",6.36,"Non-Edible",0.00597362,"Household",164.5526,"OUT013",1987,"High","Tier 3","Supermarket Type1",2137.8838,2.58549825134266,"Non-Consumable",26
"FDX26",17.7,"Low Fat",0.146973462,"Dairy",184.1292,"OUT010",1998,"Small","Tier 3","Grocery Store",547.2876,0.189393770140853,"Food",15
"FDN02",16.5,"Low Fat",0.07376631,"Canned",208.5638,"OUT013",1987,"High","Tier 3","Supermarket Type1",2691.8294,0.202066223004312,"Food",26
"FDJ40",12.5693234042553,"Regular",0.049349121,"Frozen Foods",108.6912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3057.3536,0.32330333453523,"Food",28
"FDU13",12.3408296213808,"Low Fat",0.328390948,"Canned",146.0418,"OUT019",1985,"Small","Tier 1","Grocery Store",588.5672,0.093876678477414,"Food",28
"DRE27",11.85,"Low Fat",0.13267058,"Dairy",96.4726,"OUT046",1997,"Small","Tier 1","Supermarket Type1",978.726,0.11244462992395,"Drinks",16
"FDS27",10.195,"Regular",0.012455787,"Meat",197.511,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2356.932,1.18799921941616,"Food",9
"FDU44",13.1944061187762,"Regular",0.058142797,"Fruits and Vegetables",162.1552,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3086.6488,0.261999079122692,"Food",28
"DRM59",11.576204620462,"Low Fat",0.006289291,"Hard Drinks",153.2998,"OUT019",1985,"Small","Tier 1","Grocery Store",461.3994,4.1202339853489,"Drinks",28
"FDT08",13.65,"Low Fat",0.04929502,"Fruits and Vegetables",150.505,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2696.49,0.364124437644364,"Food",14
"FDL46",20.35,"Low Fat",0.054362695,"Snack Foods",117.9466,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1649.8524,0.341906892836849,"Food",6
"NCV30",20.2,"Non-Edible",0.110356797,"Household",62.051,"OUT010",1998,"Small","Tier 3","Grocery Store",126.502,0.221775680214727,"Non-Consumable",15
"FDP51",13.85,"Regular",0.085274988,"Meat",119.6124,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2014.7108,0.208503156696078,"Food",16
"FDA51",8.05,"Regular",0.164542555,"Dairy",112.2518,"OUT013",1987,"High","Tier 3","Supermarket Type1",1707.777,0.0973545665280051,"Food",26
"FDM46",7.365,"Low Fat",0.160292264,"Snack Foods",94.712,"OUT045",2002,"Small","Tier 2","Supermarket Type1",932.12,0.0865783038019031,"Food",11
"FDK02",12.5,"Low Fat",0.112859454,"Canned",118.344,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2157.192,0.137069655351731,"Food",6
"FDJ57",7.42,"Regular",0.021569566,"Seafood",184.8582,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4643.955,0.691496230101237,"Food",9
"FDJ45",12.7602739726027,"Low Fat",0.073055148,"Seafood",33.7216,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1280.9992,0.201609241603332,"Food",28
"NCB31",6.235,"Non-Edible",0.119345629,"Household",261.991,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2366.919,0.124713240829022,"Non-Consumable",6
"FDJ03",12.35,"Regular",0.072334667,"Dairy",49.1692,"OUT013",1987,"High","Tier 3","Supermarket Type1",886.8456,0.24755411182299,"Food",26
"FDT50",6.75,"Regular",0.108148913,"Dairy",95.6752,"OUT013",1987,"High","Tier 3","Supermarket Type1",958.752,0.127924333131511,"Food",26
"NCY41",16.75,"Non-Edible",0.07585337,"Health and Hygiene",36.8532,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1150.5024,0.18534259011752,"Non-Consumable",14
"FDJ60",19.35,"Regular",0.062655235,"Baking Goods",163.3184,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2641.8944,0.23858099792633,"Food",11
"FDZ35",9.6,"Regular",0.022278477,"Breads",102.499,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1547.985,0.790546890709306,"Food",16
"FDS21",19.85,"Regular",0.020961192,"Snack Foods",62.0194,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",619.194,0.672395788663083,"Food",4
"FDM52",15.1,"Low Fat",0.025993423,"Frozen Foods",147.4076,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2808.3444,0.741300006990706,"Food",16
"FDQ08",13.1944061187762,"Regular",0.018838681,"Fruits and Vegetables",62.9536,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2266.3832,0.741509512602607,"Food",28
"FDQ56",6.59,"Low Fat",0.105577348,"Fruits and Vegetables",85.6908,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1929.4884,0.147548373548123,"Food",9
"FDS47",16.75,"Low Fat",0.129086113,"Breads",89.4856,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1054.6272,0.105571939108883,"Food",14
"DRM48",15.2,"Low Fat",0.113125627,"Soft Drinks",38.6848,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1155.8288,0.132139365189631,"Drinks",11
"FDW46",13,"Regular",0.070699313,"Snack Foods",65.7484,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1174.4712,0.21052510415836,"Food",6
"FDW27",5.86,"Regular",0.151467821,"Meat",154.1314,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3412.8908,0.131405724100898,"Food",4
"NCQ05",11.395,"Non-Edible",0.03616416,"Health and Hygiene",150.1708,"OUT010",1998,"Small","Tier 3","Grocery Store",300.9416,0.720720043520864,"Non-Consumable",15
"FDU40",20.85,"Low Fat",0.062606583,"Frozen Foods",192.2478,"OUT010",1998,"Small","Tier 3","Grocery Store",387.4956,0.375281953137665,"Food",15
"DRE12",11.788407960199,"Low Fat",0.0704378,"Soft Drinks",112.886,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2942.836,0.226543613857451,"Drinks",28
"FDX35",5.035,"Regular",0.079844043,"Breads",226.3036,"OUT013",1987,"High","Tier 3","Supermarket Type1",4098.6648,0.170353248414658,"Food",26
"FDD51",11.15,"Low Fat",0.120139206,"Dairy",45.0744,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",452.744,0.137503645673361,"Food",14
"FDY27",6.38,"Low Fat",0.032028115,"Dairy",178.3344,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3211.8192,0.574463674031791,"Food",4
"NCN06",8.39,"Non-Edible",0.120497266,"Household",162.2868,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2620.5888,0.123804420664054,"Non-Consumable",16
"FDR57",5.675,"Regular",0.023492524,"Snack Foods",155.5288,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1414.1592,0.682316705153711,"Food",9
"FDL32",15.7,"Regular",0.122657336,"Fruits and Vegetables",110.1544,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1565.9616,0.133531575653328,"Food",14
"FDW46",13,"Regular",0.070588037,"Snack Foods",65.9484,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1043.9744,0.252911591263064,"Food",4
"NCO17",13.1717394366197,"Non-Edible",0.073024401,"Health and Hygiene",121.844,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3115.944,0.235485895801533,"Non-Consumable",28
"FDR19",13.5,"Regular",0.159587755,"Fruits and Vegetables",145.3102,"OUT013",1987,"High","Tier 3","Supermarket Type1",729.051,0.0878849064073589,"Food",26
"FDJ33",8.895,"Regular",0.088821765,"Snack Foods",125.173,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2956.152,0.158929913223904,"Food",6
"FDB15",10.895,"Low Fat",0.136810742,"Dairy",263.0568,"OUT046",1997,"Small","Tier 1","Supermarket Type1",527.3136,0.130995986695082,"Food",16
"FDA52",16.2,"Regular",0.128682722,"Frozen Foods",178.437,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1058.622,0.119828158965061,"Food",11
"FDZ08",13.1944061187762,"Regular",0.109459733,"Fruits and Vegetables",84.1592,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1320.9472,0.145758947435043,"Food",28
"FDR27",15.1,"Regular",0.096644015,"Meat",131.9942,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3047.3666,0.146066318010924,"Food",6
"NCK42",7.475,"Non-Edible",0.013120028,"Household",217.6192,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1725.7536,1.22252534679931,"Non-Consumable",16
"FDZ12",12.2752111111111,"Low Fat",0.110773672111111,"Baking Goods",144.847,"OUT019",1985,"Small","Tier 1","Grocery Store",143.147,0.144865658907685,"Food",28
"FDM60",10.8,"Regular",0.048339408,"Baking Goods",41.5138,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",446.7518,0.332606997780478,"Food",4
"NCI31",20,"Non-Edible",0.08165845,"Others",35.019,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",585.904,0.189144642044509,"Non-Consumable",4
"FDX39",14.3,"Regular",0.04975339,"Meat",210.3586,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6331.758,0.360769821549774,"Food",14
"NCV05",10.1,"Non-Edible",0.030379382,"Health and Hygiene",153.4656,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1853.5872,0.550553862206367,"Non-Consumable",6
"FDX16",17.85,"Low Fat",0.065810045,"Frozen Foods",149.105,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2247.075,0.224813130436226,"Food",16
"DRK12",9.5,"Low Fat",0.04192531825,"Soft Drinks",32.89,"OUT010",1998,"Small","Tier 3","Grocery Store",33.29,0.399760233185588,"Drinks",15
"NCA05",20.75,"Non-Edible",0.025272781,"Health and Hygiene",146.6734,"OUT017",2007,"Small","Tier 2","Supermarket Type1",445.4202,0.583212085983336,"Non-Consumable",6
"DRG51",12.1,"Low Fat",0.019314961,"Dairy",164.6526,"OUT010",1998,"Small","Tier 3","Grocery Store",657.8104,1.28137673190623,"Drinks",15
"NCR30",20.6,"Non-Edible",0.071282168,"Household",74.4696,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",223.7088,0.216677730296535,"Non-Consumable",4
"NCE31",7.67,"Non-Edible",0.184843579,"Household",33.1216,"OUT046",1997,"Small","Tier 1","Supermarket Type1",727.0536,0.0793131158657183,"Non-Consumable",16
"FDM56",13.1944061187762,"Low Fat",0.122896411,"Fruits and Vegetables",111.1912,"OUT019",1985,"Small","Tier 1","Grocery Store",218.3824,0.1973134522427,"Food",28
"FDP24",20.6,"Low Fat",0.082935004,"Baking Goods",119.5756,"OUT013",1987,"High","Tier 3","Supermarket Type1",2665.8632,0.214130866609969,"Food",26
"DRM37",15.35,"Low Fat",0.161350176,"Soft Drinks",196.6768,"OUT010",1998,"Small","Tier 3","Grocery Store",591.2304,0.159597905795303,"Drinks",15
"FDN56",5.46,"Regular",0.106968096,"Fruits and Vegetables",142.6786,"OUT013",1987,"High","Tier 3","Supermarket Type1",2311.6576,0.13111717859152,"Food",26
"DRE60",9.395,"Low Fat",0.159582185,"Soft Drinks",224.772,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7017.532,0.0970138410868414,"Drinks",14
"FDW49",12.3408296213808,"Low Fat",0.14453827,"Canned",180.6002,"OUT019",1985,"Small","Tier 1","Grocery Store",895.501,0.153330536830142,"Food",28
"FDM20",10,"Low Fat",0.038685802,"Fruits and Vegetables",243.8144,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4655.2736,0.42263040894046,"Food",16
"FDK15",12.7661037891269,"Low Fat",0.172309903,"Meat",98.2042,"OUT019",1985,"Small","Tier 1","Grocery Store",198.4084,0.171350017190095,"Food",28
"FDK48",7.445,"Low Fat",0.037690731,"Baking Goods",73.3354,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",451.4124,0.533480256913332,"Food",14
"FDO49",13.1791118421053,"Regular",0.05787008,"Breakfast",49.7008,"OUT019",1985,"Small","Tier 1","Grocery Store",50.6008,0.50103266188439,"Food",28
"FDC09",15.5,"Regular",0.026409147,"Fruits and Vegetables",102.1332,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",615.1992,0.562605856110677,"Food",4
"NCZ41",19.85,"Non-Edible",0.064367627,"Health and Hygiene",126.1704,"OUT013",1987,"High","Tier 3","Supermarket Type1",876.1928,0.248979491154327,"Non-Consumable",26
"FDP19",11.5,"Low Fat",0.173516063,"Fruits and Vegetables",128.1652,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2454.1388,0.0842887574560167,"Food",16
"FDQ24",12.2752111111111,"Low Fat",0.12898088,"Baking Goods",250.4724,"OUT019",1985,"Small","Tier 1","Grocery Store",251.6724,0.223887371995552,"Food",28
"DRL11",10.5,"Low Fat",0.048115543,"Hard Drinks",159.0946,"OUT045",2002,"Small","Tier 2","Supermarket Type1",4102.6596,0.310676086894443,"Drinks",11
